a: a
agency: Agency
an: an
and: and
anthropology: Anthropology
anyone: anyone
as: as
aspects: aspects
at: At
author: Author
authors: authors
automatically: automatically
by: by
can: can
category: Category
central: Central
cia: CIA
class: Class
compilation: compilation
compiled: compiled
comprehensive: comprehensive
copyright: Copyright
countries: countries
cover: cover
credits: Credits
date: Date
days: days
demographics: demographics
detailed: detailed
difficult: Difficult
domain: domain
downloads: Downloads downloads
dr: Dr
during: during
early: early
ease: ease
economic: economic
economy: economy
edition: edition
efficiently: efficiently
engage: engage
english: English
entries: entries
etc: etc
extensive: extensive
facilitate: facilitate
factbook: Factbook
facts: facts
focusing: focusing
followed: followed
for: for
forms: forms
g: G
generated: generated
geography: Geography geography
geopolitical: geopolitical
global: global
government: government
gregory: Gregory
handbooks: Handbooks
in: in
includes: includes
indicators: indicators
information: information
intelligence: Intelligence
interested: interested
is: is
its: its
jan: Jan
landscape: landscape
language: Language
last: last
less: Less
like: like
list: list
loc: LoC
manuals: manuals
more: more
moreof: Moreof
most: Most
newby: Newby
note: Note
oct: Oct
of: of
on: on
opening: opening
outline: outline
period: period
policymakers: policymakers
political: Political
politics: politics
population: population
portion: portion
preliminary: preliminary
present: present
process: process
produced: Produced
public: Public
publication: publication
range: range
read: Read read
readers: readers
reading: Reading
recently: Recently
recreation: Recreation
reference: reference
regarding: regarding
release: Release
researchers: researchers
resource: resource
retrieval: retrieval
science: science
score: score
serve: serve
serves: serves
sets: sets
show: Show
specifically: specifically
stage: stage
start: start
states: States
statistics: statistics
status: Status
structure: structure
structures: structures
students: students
subject: Subject
such: such
summary: summary
territories: territories
text: Text
that: that
the: The the
this: This this
title: Title
to: to
tool: tool
topics: topics
trove: trove
understanding: understanding
united: United
updated: Updated
usa: USA
various: various
vital: vital
with: with
world: World world
