a: a
about: about
across: across
adaptations: Adaptations
address: address
advantage: Advantage
aesop: Aesop
ages: ages
also: also
an: an
ancient: ancient
and: and
androcles: Androcles
anew: Anew
animals: animals
ant: ant
anthropomorphic: anthropomorphic
around: around
array: array
arrogance: arrogance
arrow: arrow
as: as
ass: ass
author: Author
automatically: automatically
avaricious: Avaricious
bald: bald
bat: bat
bc: BC
bce: BCE
bear: bear
beasts: beasts
behavior: behavior
belittle: belittle
belles: belles
belling: Belling
belly: belly
birds: birds
book: book
both: both
boy: boy
brains: brains
buffoon: buffoon
bundle: bundle
by: by
can: can
cat: cat
categorized: categorized
category: Category
century: century
characters: Characters
class: Class
classical: Classical
clothing: clothing
club: Club
cock: cock
collection: collection
compiled: compiled
comprehensive: comprehensive
consists: consists
contemplate: contemplate
content: content
contents: Contents
convey: convey
copyright: Copyright
country: country
countryman: countryman
crabs: crabs
crane: crane
crow: crow
cultures: cultures
cunning: cunning
date: Date
days: days
death: death
delivering: delivering
desiring: desiring
dilemmas: dilemmas
distinct: distinct
diverse: diverse
doe: doe
dog: dog
domain: domain
donkey: donkey
downloads: Downloads downloads
during: during
each: each
eagle: eagle
ease: ease
easy: Easy
editor: Editor
eggs: eggs
embodying: embodying
emphasizes: emphasizes
encourage: encourage
engaging: engaging
english: English
envious: envious
era: era
ethics: ethics
extext: extext
fables: Fables fables
features: features
fellows: fellows
file: file
fish: fish
fisher: fisher
fly: fly
for: For
four: four
fox: Fox fox
foxes: foxes
friends: friends
frog: frog
frogs: frogs
fyler: Fyler
generated: generated
george: George
goat: goat
god: god
gold: gold
golden: golden
goose: goose
grade: grade
grapes: Grapes grapes
grasshopper: grasshopper
greek: Greek
hare: Hare hare
hares: hares
hart: hart
her: her
hercules: Hercules
his: his
history: History
horse: horse
houston: Houston
how: how
https: https
human: human
humor: humor
hunter: hunter
illustrated: illustrated
illustrates: illustrates
in: in
insights: insights
instance: instance
international: International
into: into
involve: involve
is: is
jacobs: Jacobs
jay: jay
jones: Jones
joseph: Joseph
juno: Juno
juvenile: Juvenile
kid: kid
king: king
labour: labour
labourer: labourer
lamb: lamb
language: Language
languages: Languages
lapdog: lapdog
last: last
late: late
less: Less
lesson: lesson
lessons: lessons
lettres: lettres
life: life
lion: lion
literature: Literature
literatures: Literatures
little: little
loc: LoC
love: love
making: making
man: man
manger: manger
many: many
mar: Mar
mask: mask
members: members
milkmaid: milkmaid
miser: miser
mixture: mixture
moral: moral
morals: morals
moretruths: Moretruths
mosquitoes: mosquitoes
most: Most
mother: mother
mountains: mountains
mouse: mouse
naive: naive
narratives: narratives
nature: nature
nightingale: nightingale
not: not
note: Note
noted: noted
nurse: nurse
obtain: obtain
oct: Oct
of: of
often: often
old: old
on: on
or: or
original: Original
other: other
over: over
ox: ox
oxen: oxen
pa: PA
page: page
pail: pail
paperless: PaperLess
particularly: particularly
peacock: peacock
pearl: pearl
people: people
period: period
perseverance: perseverance
pg: PG
pitcher: pitcher
planned: Planned
populate: populate
pots: pots
presented: presented
prisoner: prisoner
profound: profound
public: Public
publication: Publication
pz: PZ
range: range
read: Read read
readers: Readers readers
reading: Reading
recently: Recently
reed: reed
reflections: reflections
release: Release
renowned: renowned
resonate: resonate
retold: retold
satyr: satyr
score: score
second: second
see: See
selected: Selected
serpent: serpent
serve: serve
shadow: shadow
share: share
sheep: sheep
shepherd: shepherd
short: short
show: Show
sick: sick
simple: simple
skin: skin
specifically: specifically
stag: stag
statue: statue
status: Status
sticks: sticks
stories: stories
stork: stork
subject: Subject
such: such
summary: summary
sun: sun
swallow: swallow
tail: tail
taken: taken
tales: tales
text: Text
that: that
the: The the
their: Their their
them: them
these: these
they: they
thief: thief
this: This this
through: Through through
timeless: timeless
title: Title
to: to
told: Told
tortoise: Tortoise tortoise
tortoises: tortoises
town: town
townsend: Townsend
tr: tr
traced: Traced
tree: tree
trumpeter: trumpeter
two: two
universal: universal
updated: Updated
usa: USA
value: value
vernon: Vernon
versions: versions
vices: vices
virtues: virtues
waggoner: waggoner
what: what
while: while
wikipedia: Wikipedia
wind: wind
wisdom: wisdom
wise: wise
with: with
without: without
wives: wives
wolf: wolf
woman: woman
wood: wood
wooden: wooden
woodman: woodman
written: written
yet: yet
young: young
